汉字	最终规范拆分	编码首根	编码末根
㑇	亻 ＋ 刍	亻	刍
㑊	亻 ＋ 亦	亻	变字头
㕮	口 ＋ 八 ＋ 㐅	口	交
㘎	口 ＋ 门 ＋ 折 ＋ 耳 ＋ 攵	口	又
㙍	土 ＋ 又 ＋ 又 ＋ 又 ＋ 又	土	又
㙘	土 ＋ 覀 ＋ 女	土	女
㙦	全字头 ＋ 于 ＋ 八 ＋ 冬字底 ＋ 十 ＋ 土	人	土
㛃	丰 ＋ 刀 ＋ 女	丰	女
㛚	女 ＋ 龴 ＋ 冂 ＋ 举字底	女	扌
㛹	女 ＋ 亻 ＋ 一 ＋ 日 ＋ 㐅	女	交
㟃	山 ＋ 折 ＋ 一 ＋ 口	山	口
㠇	山 ＋ 享字头 ＋ 小 ＋ 尤	山	龙
㠓	山 ＋ 艹 ＋ 冖 ＋ 一 ＋ 豕	山	豕
㤘	忄 ＋ 刍	忄	刍
㥄	忄 ＋ 土 ＋ 八 ＋ 夂	忄	又
㧐	扌 ＋ 又 ＋ 又	扌	又
㧑	扌 ＋ 为	扌	力
㧟	扌 ＋ 氵 ＋ 匚	扌	匚
㫰	日 ＋ 丶 ＋ 艮	日	艮
㬊	日 ＋ 爫 ＋ 一 ＋ 左字框 ＋ 又	日	又
㬎	日 ＋ 幺 ＋ 幺 ＋ 灬	日	火
㬚	日 ＋ 亠 ＋ 厶 ＋ 青字底 ＋ 攵	日	又
㭎	木 ＋ 冂 ＋ 㐅	木	交
㭕	木 ＋ 土 ＋ 厶	木	厶
㮾	丶 ＋ 即字旁 ＋ 月 ＋ 木	点	木
㰀	木 ＋ 禾 ＋ 勹 ＋ 丿 ＋ 全字头 ＋ 氺	木	氵
㳇	氵 ＋ 八 ＋ 㐅	氵	交
㳘	氵 ＋ 亠 ＋ 厶 ＋ 儿	氵	儿
㳚	氵 ＋ 厂 ＋ 丶 ＋ 折 ＋ 撇 ＋ 丶	氵	点
㴔	氵 ＋ 刍 ＋ 心	氵	忄
㵐	氵 ＋ 厂 ＋ 丷 ＋ 一 ＋ 凵 ＋ 丿 ＋ ⺈ ＋ 人	氵	人
㶲	火 ＋ 周字框 ＋ 举字底	火	扌
㸆	火 ＋ 告字头 ＋ 口 ＋ 非	火	片
㸌	火 ＋ 雨头 ＋ 隹	火	隹
㺄	犭 ＋ 俞	犭	俞
㻬	王 ＋ 雨头 ＋ 二 ＋ 折	王	折
㽏	氵 ＋ 全字头 ＋ 一 ＋ 口 ＋ 甘	氵	廿
㿠	白 ＋ 尚字头 ＋ 兀	白	儿
䁖	目 ＋ 米 ＋ 女	日	女
䂮	丰 ＋ 刀 ＋ 石	丰	石
䃅	石 ＋ 单	石	单
䃎	石 ＋ 大 ＋ 夕 ＋ 夕	石	夕
䅟	禾 ＋ 厶 ＋ 大 ＋ 彡	禾	彡
䌹	纟 ＋ 冂 ＋ 口	纟	口
䎃	冂 ＋ 土 ＋ 习 ＋ 习	匚	习
䎖	丷 ＋ 囗 ＋ 尚字头 ＋ 日 ＋ 习 ＋ 习	八	习
䏝	月 ＋ 专	月	专
䏡	月 ＋ 示	月	示
䏲	月 ＋ 弟	月	弟
䐃	月 ＋ 囗 ＋ 禾	月	禾
䓖	艹 ＋ 宀 ＋ 八 ＋ 力	艹	力
䓛	艹 ＋ 尸 ＋ 出	艹	山
䓨	艹 ＋ 冖 ＋ 缶	艹	击
䓫	艹 ＋ 大 ＋ 可	艹	寸
䓬	艹 ＋ 卢字头 ＋ 日 ＋ 十	艹	十
䗖	虫 ＋ 带字头 ＋ 冖 ＋ 巾	虫	巾
䗛	虫 ＋ 亻 ＋ 丨 ＋ 夂 ＋ 青字底	虫	月
䗪	广 ＋ 廿 ＋ 灬 ＋ 虫	广	虫
䗴	虫 ＋ 竹头 ＋ 壬 ＋ 廴	虫	辶
䜣	讠 ＋ 斤	讠	斤
䝙	豸 ＋ 匚 ＋ 㐅	豕	交
䢺	出 ＋ 阝	山	卩
䢼	龷 ＋ 八 ＋ 阝	廿	卩
䣘	尚头 ＋ 土 ＋ 阝	宀	卩
䥽	钅 ＋ 折 ＋ 撇 ＋ 又 ＋ 点	钅	点
䦃	钅 ＋ 艹 ＋ 耂 ＋ 日	钅	日
䲟	鱼 ＋ 印	鱼	卵
䲠	鱼 ＋ 春字头 ＋ 日	鱼	日
䲢	月 ＋ 龹 ＋ 鱼	月	鱼
䴓	一 ＋ 巾 ＋ 鸟	横	鸟
䴔	交 ＋ 鸟	交	鸟
䴕	歹 ＋ 刂 ＋ 鸟	夕	鸟
䴖	龶 ＋ 青字底 ＋ 鸟	丰	鸟
䴗	目 ＋ 犬 ＋ 鸟	日	鸟
䴘	反字框 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 几 ＋ 鸟	撇	鸟
䴙	尸 ＋ 口 ＋ 辛 ＋ 鸟	尸	鸟
䶮	龙 ＋ 天	龙	大
一	一	横	横
丁	丁	寸	寸
七	七	匕	匕
万	横 ＋ 撇 ＋ 折	横	折
丈	左字框 ＋ 丶	十	点
三	三	三	三
上	卜 ＋ 横	卜	横
下	横 ＋ 卜	横	卜
不	一 ＋ 亻 ＋ 点	横	点
与	一 ＋ 折 ＋ 一	横	横
丏	一 ＋ 丨 ＋ 折 ＋ 折	横	折
丐	一 ＋ 卢字头 ＋ 折	横	折
丑	折 ＋ 土	折	土
专	专	专	专
且	且	且	且
丕	一 ＋ 亻 ＋ 点 ＋ 一	横	横
世	廿 ＋ 折	廿	折
丘	丘	丘	丘
丙	一 ＋ 冂 ＋ 人	横	人
业	业	业	业
丛	人 ＋ 人 ＋ 一	人	横
东	东	车	车
丝	纟 ＋ 纟	纟	纟
丞	折 ＋ 水 ＋ 一	折	横
丢	壬 ＋ 厶	土	厶
两	两	丽	丽
严	亚 ＋ 丿	业	撇
丧	十 ＋ 丷 ＋ 畏字底带横	十	定字底
个	全字头 ＋ 丨	人	竖
丫	丷 ＋ 丨	八	竖
中	口 ＋ 竖	口	竖
丰	丰	丰	丰
串	口 ＋ 口 ＋ 丨	口	竖
临	览字头 ＋ 囗 ＋ 竖	览字头	竖
丸	丸	九	九
丹	周字框 ＋ 亠	几	亠
为	为	力	力
主	亠 ＋ 土	亠	土
丽	丽	丽	丽
举	应字心 ＋ 八 ＋ 举字底	小	扌
乂	㐅	交	交
乃	乃	乃	乃
久	久	又	又
么	丿 ＋ 厶	撇	厶
义	丶 ＋ 㐅	点	交
之	之	之	之
乌	乌	鸟	鸟
乍	卧人 ＋ 卢字头 ＋ 一	卧人	横
乎	撇 ＋ 丷 ＋ 一 ＋ 竖	撇	竖
乏	撇 ＋ 之	撇	之
乐	乐	乐	乐
乒	丘 ＋ 丿	丘	撇
乓	丘 ＋ 丶	丘	点
乔	乔	竖	竖
乖	千 ＋ 北字旁 ＋ 匕	干	匕
乘	禾 ＋ 北字旁 ＋ 匕	禾	匕
乙	乙	乙	乙
乜	折 ＋ 折	折	折
九	九	九	九
乞	卧人 ＋ 乙	卧人	乙
也	也	也	也
习	习	习	习
乡	乡	纟	纟
书	折 ＋ 折 ＋ 丨 ＋ 丶	折	点
乩	卢字头 ＋ 口 ＋ 折	卜	折
买	折 ＋ 冬字底 ＋ 大	折	大
乱	千 ＋ 口 ＋ 折	干	折
乳	爫 ＋ 子 ＋ 折	爫	折
乸	也 ＋ 母	也	母
乾	十 ＋ 日 ＋ 十 ＋ 卧人 ＋ 乙	十	乙
了	了	子	子
予	予	予	予
争	⺈ ＋ 争字底	刀	争字底
事	横 ＋ 口 ＋ 争字底	横	争字底
二	二	二	二
亍	一 ＋ 丁	横	寸
于	于	干	干
亏	二 ＋ 折	二	折
云	二 ＋ 厶	二	厶
互	互	争字底	争字底
亓	一 ＋ 丌	横	儿
五	五	五	五
井	井	井	井
亘	一 ＋ 日 ＋ 一	横	横
亚	亚	业	业
些	止 ＋ 匕 ＋ 二	止	二
亟	了 ＋ 口 ＋ 又 ＋ 一	子	横
亡	亠 ＋ 折	亠	折
亢	亠 ＋ 几	亠	几
交	交	交	交
亥	亠 ＋ 折 ＋ 丿 ＋ 人	亠	人
亦	亦	变字头	变字头
产	立 ＋ 丿	立	撇
亨	享字头 ＋ 了	享字头	子
亩	亠 ＋ 田	亠	田
享	享字头 ＋ 子	享字头	子
京	享字头 ＋ 小	享字头	小
亭	享字头 ＋ 冖 ＋ 丁	享字头	寸
亮	享字头 ＋ 冖 ＋ 几	享字头	几
亲	立 ＋ 一 ＋ 小	立	小
亳	享字头 ＋ 冖 ＋ 撇 ＋ 七	享字头	匕
亵	衣 ＋ 扌 ＋ 丸	衣	九
亶	亠 ＋ 囗 ＋ 口 ＋ 日 ＋ 一	亠	横
亸	享字头 ＋ 子 ＋ 单	享字头	单
亹	亠 ＋ 撇 ＋ 卢字头 ＋ 一 ＋ 冂 ＋ 一 ＋ 口 ＋ 折 ＋ 二 ＋ 冖 ＋ 且	亠	且
人	人	人	人
亿	亻 ＋ 乙	亻	乙
什	亻 ＋ 十	亻	十
仁	亻 ＋ 二	亻	二
仂	亻 ＋ 力	亻	力
仃	亻 ＋ 丁	亻	寸
仄	厂 ＋ 人	广	人
仅	亻 ＋ 又	亻	又
仆	亻 ＋ 卜	亻	卜
仇	亻 ＋ 九	亻	九
仉	亻 ＋ 几	亻	几
今	今	今	今
介	全字头 ＋ 乔字底	人	竖
仍	亻 ＋ 乃	亻	乃
从	人 ＋ 人	人	人
仑	全字头 ＋ 匕	人	匕
仓	全字头 ＋ 㔾	人	已
仔	亻 ＋ 子	亻	子
仕	亻 ＋ 士	亻	土
他	亻 ＋ 也	亻	也
仗	亻 ＋ 左字框 ＋ 丶	亻	点
付	付	付	付
仙	亻 ＋ 山	亻	山
仝	全字头 ＋ 工	人	工
仞	亻 ＋ 刀 ＋ 丶	亻	点
仟	亻 ＋ 千	亻	干
仡	亻 ＋ 卧人 ＋ 乙	亻	乙
代	亻 ＋ 弋	亻	戈
令	令	今	今
以	以	以	以
仨	亻 ＋ 三	亻	三
仪	亻 ＋ 丶 ＋ 㐅	亻	交
仫	亻 ＋ 丿 ＋ 厶	亻	厶
们	亻 ＋ 门	亻	匚
仰	亻 ＋ 卬	亻	卩
仲	亻 ＋ 口 ＋ 竖	亻	竖
仳	亻 ＋ 比字旁 ＋ 匕	亻	匕
仵	亻 ＋ 卧人 ＋ 十	亻	十
件	亻 ＋ 牛	亻	牛
价	亻 ＋ 全字头 ＋ 乔字底	亻	竖
任	亻 ＋ 壬	亻	土
份	亻 ＋ 八 ＋ 刀	亻	刀
仿	亻 ＋ 方	亻	方
企	全字头 ＋ 止	人	止
伈	亻 ＋ 心	亻	忄
伉	亻 ＋ 亠 ＋ 几	亻	几
伊	亻 ＋ 争字底 ＋ 撇	亻	撇
伋	亻 ＋ 及	亻	及
伍	亻 ＋ 五	亻	五
伎	亻 ＋ 十 ＋ 又	亻	又
伏	亻 ＋ 犬	亻	大
伐	亻 ＋ 戈	亻	戈
休	亻 ＋ 木	亻	木
众	全字头 ＋ 人 ＋ 人	人	人
优	亻 ＋ 尤	亻	龙
伙	亻 ＋ 火	亻	火
会	全字头 ＋ 二 ＋ 厶	人	厶
伛	亻 ＋ 匚 ＋ 㐅	亻	交
伞	全字头 ＋ 丷 ＋ 十	人	十
伟	亻 ＋ 韦	亻	韦
传	亻 ＋ 专	亻	专
伢	亻 ＋ 牙	亻	牙
伣	亻 ＋ 见	亻	见
伤	亻 ＋ 卧人 ＋ 力	亻	力
伥	亻 ＋ 长	亻	长
伦	亻 ＋ 全字头 ＋ 匕	亻	匕
伧	亻 ＋ 全字头 ＋ 㔾	亻	已
伪	亻 ＋ 为	亻	力
伫	亻 ＋ 宀 ＋ 一	亻	横
伭	亻 ＋ 亠 ＋ 幺	亻	纟
伯	亻 ＋ 白	亻	白
估	亻 ＋ 古	亻	古
伲	亻 ＋ 尸 ＋ 匕	亻	匕
伴	亻 ＋ 丷 ＋ 举字底	亻	扌
伶	亻 ＋ 令	亻	今
伸	亻 ＋ 申	亻	田
伺	亻 ＋ 折 ＋ 一 ＋ 口	亻	口
似	亻 ＋ 以	亻	以
伽	亻 ＋ 力 ＋ 口	亻	口
伾	亻 ＋ 一 ＋ 亻 ＋ 点 ＋ 一	亻	横
佁	亻 ＋ 厶 ＋ 口	亻	口
佃	亻 ＋ 田	亻	田
但	亻 ＋ 日 ＋ 一	亻	横
位	亻 ＋ 立	亻	立
低	亻 ＋ 氐	亻	氏
住	亻 ＋ 亠 ＋ 土	亻	土
佐	亻 ＋ 左字框 ＋ 工	亻	工
佑	亻 ＋ 左字框 ＋ 口	亻	口
体	亻 ＋ 木 ＋ 一	亻	横
何	亻 ＋ 可	亻	寸
佖	亻 ＋ 必	亻	忄
佗	亻 ＋ 宀 ＋ 匕	亻	匕
佘	全字头 ＋ 示	人	示
余	全字头 ＋ 于 ＋ 八	人	八
佚	亻 ＋ 失	亻	矢
佛	亻 ＋ 弗	亻	弗
作	亻 ＋ 卧人 ＋ 卢字头 ＋ 一	亻	横
佝	亻 ＋ 勹 ＋ 口	亻	口
佞	亻 ＋ 二 ＋ 女	亻	女
佟	亻 ＋ 夂 ＋ 冬字底	亻	点
你	亻 ＋ ⺈ ＋ 小	亻	小
佣	亻 ＋ 周字框 ＋ 举字底	亻	扌
佤	亻 ＋ 瓦	亻	瓦
佥	佥	佥	佥
佩	亻 ＋ 风省 ＋ 一 ＋ 巾	亻	巾
佬	亻 ＋ 耂 ＋ 匕	亻	匕
佯	亻 ＋ 羊	亻	羊
佰	亻 ＋ 一 ＋ 白	亻	白
佳	亻 ＋ 土 ＋ 土	亻	土
佴	亻 ＋ 耳	亻	耳
佶	亻 ＋ 士 ＋ 口	亻	口
佸	亻 ＋ 千 ＋ 口	亻	口
佺	亻 ＋ 全字头 ＋ 王	亻	王
佻	亻 ＋ 冫 ＋ 冫 ＋ 儿	亻	儿
佼	亻 ＋ 交	亻	交
佽	亻 ＋ 冫 ＋ ⺈ ＋ 人	亻	人
佾	亻 ＋ 八 ＋ 青字底	亻	月
使	亻 ＋ 横 ＋ 口 ＋ 乂	亻	交
侁	亻 ＋ 告字头 ＋ 儿	亻	儿
侂	亻 ＋ 广 ＋ 撇 ＋ 七	亻	匕
侃	亻 ＋ 口 ＋ 荒字底	亻	竖
侄	亻 ＋ 至	亻	至
侈	亻 ＋ 夕 ＋ 夕	亻	夕
侉	亻 ＋ 大 ＋ 二 ＋ 折	亻	折
例	亻 ＋ 歹 ＋ 刂	亻	刀
侍	亻 ＋ 土 ＋ 寸	亻	寸
侏	亻 ＋ 朱	亻	未
侑	亻 ＋ 左字框 ＋ 青字底	亻	月
侔	亻 ＋ 厶 ＋ 牛	亻	牛
侗	亻 ＋ 冂 ＋ 一 ＋ 口	亻	口
侘	亻 ＋ 宀 ＋ 撇 ＋ 七	亻	匕
供	亻 ＋ 龷 ＋ 八	亻	八
依	亻 ＋ 衣	亻	衣
侠	亻 ＋ 一 ＋ 丷 ＋ 大	亻	大
侣	亻 ＋ 口 ＋ 口	亻	口
侥	亻 ＋ 尧	亻	尧
侦	亻 ＋ 卢字头 ＋ 贝	亻	见
侧	亻 ＋ 贝 ＋ 刂	亻	刀
侨	亻 ＋ 乔	亻	竖
侩	亻 ＋ 全字头 ＋ 二 ＋ 厶	亻	厶
侪	亻 ＋ 文 ＋ 乔字底	亻	竖
侬	亻 ＋ 冖 ＋ 衣省	亻	衣
侮	亻 ＋ 卧人 ＋ 母	亻	母
侯	亻 ＋ 折 ＋ 一 ＋ 矢	亻	矢
侴	全字头 ＋ 一 ＋ 折 ＋ 土 ＋ 刂	人	刀
侵	亻 ＋ 彐 ＋ 冖 ＋ 又	亻	又
侹	亻 ＋ 壬 ＋ 廴	亻	辶
便	亻 ＋ 一 ＋ 日 ＋ 㐅	亻	交
促	亻 ＋ 足	亻	足
俄	亻 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	亻	戈
俅	亻 ＋ 一 ＋ 氺 ＋ 丶	亻	点
俊	亻 ＋ 厶 ＋ 八 ＋ 夂	亻	又
俍	亻 ＋ 丶 ＋ 艮	亻	艮
俎	人 ＋ 人 ＋ 且	人	且
俏	亻 ＋ 尚字头 ＋ 青字底	亻	月
俐	亻 ＋ 利	亻	利
俑	亻 ＋ 龴 ＋ 冂 ＋ 举字底	亻	扌
俗	亻 ＋ 八 ＋ 全字头 ＋ 口	亻	口
俘	亻 ＋ 爫 ＋ 子	亻	子
俙	亻 ＋ 㐅 ＋ 左字框 ＋ 巾	亻	巾
俚	亻 ＋ 里	亻	里
俜	亻 ＋ 由 ＋ 一 ＋ 折	亻	折
保	亻 ＋ 口 ＋ 木	亻	木
俞	俞	俞	俞
俟	亻 ＋ 厶 ＋ 矢	亻	矢
信	亻 ＋ 言	亻	讠
俣	亻 ＋ 口 ＋ 天	亻	大
俦	亻 ＋ 三 ＋ 丿 ＋ 寸	亻	寸
俨	亻 ＋ 亚 ＋ 丿	亻	撇
俩	亻 ＋ 两	亻	丽
俪	亻 ＋ 丽	亻	丽
俫	亻 ＋ 来	亻	来
俭	亻 ＋ 佥	亻	佥
修	亻 ＋ 丨 ＋ 夂 ＋ 彡	亻	彡
俯	亻 ＋ 广 ＋ 付	亻	付
俱	亻 ＋ 具字头 ＋ 八	亻	八
俳	亻 ＋ 非	亻	片
俵	亻 ＋ 龶 ＋ 衣省	亻	衣
俶	亻 ＋ 卜 ＋ 横 ＋ 小 ＋ 又	亻	又
俸	亻 ＋ 春字头 ＋ 举字底	亻	扌
俺	亻 ＋ 大 ＋ 电	亻	田
俾	亻 ＋ 白 ＋ 丿 ＋ 十	亻	十
倌	亻 ＋ 宀 ＋ 官字底	亻	追字心
倍	亻 ＋ 立 ＋ 口	亻	口
倏	亻 ＋ 丨 ＋ 夂 ＋ 犬	亻	大
倒	亻 ＋ 至 ＋ 刂	亻	刀
倓	亻 ＋ 火 ＋ 火	亻	火
倔	亻 ＋ 尸 ＋ 出	亻	山
倕	亻 ＋ 千 ＋ 龷 ＋ 一	亻	横
倘	亻 ＋ 尚字头 ＋ 冖 ＋ 口	亻	口
候	亻 ＋ 丨 ＋ 折 ＋ 一 ＋ 矢	亻	矢
倚	亻 ＋ 大 ＋ 可	亻	寸
倜	亻 ＋ 周字框 ＋ 土 ＋ 口	亻	口
倞	亻 ＋ 享字头 ＋ 小	亻	小
借	亻 ＋ 龷 ＋ 日	亻	日
倡	亻 ＋ 日 ＋ 日	亻	日
倥	亻 ＋ 宀 ＋ 八 ＋ 工	亻	工
倦	亻 ＋ 龹 ＋ 㔾	亻	已
倧	亻 ＋ 宀 ＋ 示	亻	示
倨	亻 ＋ 居	亻	居
倩	亻 ＋ 龶 ＋ 青字底	亻	月
倪	亻 ＋ 臼 ＋ 儿	亻	儿
倬	亻 ＋ 卢字头 ＋ 日 ＋ 十	亻	十
倭	亻 ＋ 禾 ＋ 女	亻	女
倮	亻 ＋ 日 ＋ 木	亻	木
倴	亻 ＋ 大 ＋ 十 ＋ 廾	亻	艹
债	亻 ＋ 龶 ＋ 贝	亻	见
倻	亻 ＋ 耳 ＋ 阝	亻	卩
值	亻 ＋ 十 ＋ 具字头	亻	且
倾	亻 ＋ 比字旁 ＋ 页	亻	见
偁	亻 ＋ 爫 ＋ 冂 ＋ 土	亻	土
偃	亻 ＋ 匚 ＋ 日 ＋ 女	亻	女
假	亻 ＋ 折 ＋ 一 ＋ 卢字头 ＋ 一 ＋ 折 ＋ 一 ＋ 又	亻	又
偈	亻 ＋ 日 ＋ 匃	亻	匚
偌	亻 ＋ 艹 ＋ 左字框 ＋ 口	亻	口
偎	亻 ＋ 田 ＋ 畏字底带横	亻	定字底
偏	亻 ＋ 户 ＋ 冂 ＋ 艹	亻	艹
偓	亻 ＋ 尸 ＋ 至	亻	至
偕	亻 ＋ 比字旁 ＋ 匕 ＋ 白	亻	白
做	亻 ＋ 古 ＋ 攵	亻	又
停	亻 ＋ 享字头 ＋ 冖 ＋ 丁	亻	寸
偡	亻 ＋ 其字头 ＋ 八 ＋ 折	亻	折
健	亻 ＋ 聿 ＋ 廴	亻	辶
偬	亻 ＋ 勿 ＋ 点 ＋ 心	亻	忄
偭	亻 ＋ 面	亻	雨
偰	亻 ＋ 丰 ＋ 刀 ＋ 大	亻	大
偲	亻 ＋ 田 ＋ 心	亻	忄
偶	亻 ＋ 日 ＋ 禺字底	亻	禸
偷	亻 ＋ 俞	亻	俞
偻	亻 ＋ 米 ＋ 女	亻	女
偾	亻 ＋ 十 ＋ 艹 ＋ 贝	亻	见
偿	亻 ＋ 尚字头 ＋ 冖 ＋ 二 ＋ 厶	亻	厶
傀	亻 ＋ 鬼	亻	鬼
傃	亻 ＋ 龶 ＋ 糸	亻	纟
傅	亻 ＋ 甫 ＋ 寸	亻	寸
傈	亻 ＋ 覀 ＋ 木	亻	木
傉	亻 ＋ 厂 ＋ 一 ＋ 畏字底带横 ＋ 寸	亻	寸
傍	亻 ＋ 帝字头 ＋ 方	亻	方
傒	亻 ＋ 爫 ＋ 幺 ＋ 大	亻	大
傕	亻 ＋ 冖 ＋ 隹	亻	隹
傣	亻 ＋ 春字头 ＋ 氺	亻	氵
傥	亻 ＋ 尚头 ＋ 儿	亻	儿
傧	亻 ＋ 宀 ＋ 撇 ＋ 卢字头 ＋ 丨 ＋ 一 ＋ 八	亻	八
储	亻 ＋ 讠 ＋ 耂 ＋ 日	亻	日
傩	亻 ＋ 又 ＋ 隹	亻	隹
催	亻 ＋ 山 ＋ 隹	亻	隹
傲	亻 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	亻	又
傺	亻 ＋ 祭字头 ＋ 示	亻	示
傻	亻 ＋ 囟 ＋ 八 ＋ 夂	亻	又
僇	亻 ＋ 习 ＋ 习 ＋ 全字头 ＋ 彡	亻	彡
僎	亻 ＋ 巳 ＋ 巳 ＋ 龷 ＋ 八	亻	八
像	亻 ＋ 象	亻	象
僔	亻 ＋ 丷 ＋ 酉 ＋ 寸	亻	寸
僖	亻 ＋ 士 ＋ 口 ＋ 丷 ＋ 一 ＋ 口	亻	口
僚	亻 ＋ 大 ＋ 丷 ＋ 日 ＋ 小	亻	小
僦	亻 ＋ 享字头 ＋ 小 ＋ 尤	亻	龙
僧	亻 ＋ 丷 ＋ 囗 ＋ 尚字头 ＋ 日	亻	日
僬	亻 ＋ 隹 ＋ 灬	亻	火
僭	亻 ＋ 一 ＋ 折 ＋ 儿 ＋ 一 ＋ 折 ＋ 儿 ＋ 日	亻	日
僮	亻 ＋ 立 ＋ 里	亻	里
僰	朿 ＋ 朿 ＋ 人	束	人
僳	亻 ＋ 覀 ＋ 米	亻	米
僵	亻 ＋ 一 ＋ 田 ＋ 一 ＋ 田 ＋ 一	亻	横
僻	亻 ＋ 尸 ＋ 口 ＋ 辛	亻	辛
儆	亻 ＋ 艹 ＋ 勹 ＋ 口 ＋ 攵	亻	又
儇	亻 ＋ 罒 ＋ 一 ＋ 口 ＋ 衣省	亻	衣
儋	亻 ＋ ⺈ ＋ 厂 ＋ 八 ＋ 言	亻	讠
儒	亻 ＋ 雨头 ＋ 而	亻	雨
儡	亻 ＋ 田 ＋ 田 ＋ 田	亻	田
儦	亻 ＋ 鹿 ＋ 灬	亻	火
儳	亻 ＋ ⺈ ＋ 口 ＋ 比字旁 ＋ 匕 ＋ 兔	亻	兔
儴	亻 ＋ 襄	亻	衣
儿	儿	儿	儿
兀	兀	儿	儿
允	厶 ＋ 儿	厶	儿
元	一 ＋ 兀	横	儿
兄	口 ＋ 儿	口	儿
充	亠 ＋ 厶 ＋ 儿	亠	儿
兆	冫 ＋ 冫 ＋ 儿	氵	儿
先	告字头 ＋ 儿	牛	儿
光	尚字头 ＋ 兀	小	儿
克	古 ＋ 儿	古	儿
免	免	兔	兔
兑	丷 ＋ 口 ＋ 儿	八	儿
兔	兔	兔	兔
兕	丨 ＋ 折 ＋ 见二 ＋ 兀	竖	儿
兖	亠 ＋ 八 ＋ 厶 ＋ 儿	亠	儿
党	尚头 ＋ 儿	宀	儿
兜	白 ＋ 撇 ＋ 折 ＋ 折 ＋ 一 ＋ 儿	白	儿
兢	古 ＋ 儿 ＋ 古 ＋ 儿	古	儿
入	入	人	人
全	全字头 ＋ 王	人	王
八	八	八	八
公	八 ＋ 厶	八	厶
六	亠 ＋ 八	亠	八
兮	八 ＋ 一 ＋ 折	八	折
兰	丷 ＋ 一 ＋ 二	八	二
共	龷 ＋ 八	廿	八
关	丷 ＋ 天	八	大
兴	应字心 ＋ 八	小	八
兵	丘 ＋ 八	丘	八
其	其字头 ＋ 八	廿	八
具	具字头 ＋ 八	且	八
典	见二 ＋ 龷 ＋ 八	匚	八
兹	丷 ＋ 一 ＋ 幺 ＋ 幺	八	纟
养	养字头 ＋ 乔字底	美字头	竖
兼	兼	兼	兼
兽	丷 ＋ 田 ＋ 一 ＋ 口	八	口
冀	北字旁 ＋ 匕 ＋ 田 ＋ 龷 ＋ 八	片	八
冁	单 ＋ 尸 ＋ 艹 ＋ 畏字底带横	单	定字底
内	冂 ＋ 人	匚	人
冈	冂 ＋ 㐅	匚	交
冉	冂 ＋ 土	匚	土
册	周字框 ＋ 周字框 ＋ 一	几	横
再	一 ＋ 冂 ＋ 土	横	土
冏	冂 ＋ 八 ＋ 口	匚	口
冒	见二 ＋ 二 ＋ 目	匚	日
冔	见二 ＋ 二 ＋ 口 ＋ 于	匚	干
冕	见二 ＋ 二 ＋ 免	匚	兔
冗	冖 ＋ 几	宀	几
写	冖 ＋ 一 ＋ 折 ＋ 一	宀	横
军	冖 ＋ 车	宀	车
农	冖 ＋ 衣省	宀	衣
冠	冖 ＋ 一 ＋ 兀 ＋ 寸	宀	寸
冢	冖 ＋ 豖	宀	豕
冤	冖 ＋ 兔	宀	兔
冥	冖 ＋ 日 ＋ 亠 ＋ 八	宀	八
冬	夂 ＋ 冬字底	又	点
冮	冫 ＋ 工	氵	工
冯	冫 ＋ 马	氵	马
冰	冫 ＋ 水	氵	氵
冱	冫 ＋ 互	氵	争字底
冲	冫 ＋ 口 ＋ 竖	氵	竖
决	冫 ＋ 折 ＋ 大	氵	大
况	冫 ＋ 口 ＋ 儿	氵	儿
冶	冫 ＋ 厶 ＋ 口	氵	口
冷	冫 ＋ 令	氵	今
冻	冫 ＋ 东	氵	车
冼	冫 ＋ 告字头 ＋ 儿	氵	儿
冽	冫 ＋ 歹 ＋ 刂	氵	刀
净	冫 ＋ ⺈ ＋ 争字底	氵	争字底
凄	冫 ＋ 横 ＋ 肀 ＋ 女	氵	女
准	冫 ＋ 隹	氵	隹
凇	冫 ＋ 木 ＋ 八 ＋ 厶	氵	厶
凉	冫 ＋ 享字头 ＋ 小	氵	小
凋	冫 ＋ 周字框 ＋ 土 ＋ 口	氵	口
凌	冫 ＋ 土 ＋ 八 ＋ 夂	氵	又
减	冫 ＋ 戊 ＋ 一 ＋ 口	氵	口
凑	冫 ＋ 春字头 ＋ 天	氵	大
凓	冫 ＋ 覀 ＋ 木	氵	木
凘	冫 ＋ 其字头 ＋ 八 ＋ 斤	氵	斤
凛	冫 ＋ 亠 ＋ 囗 ＋ 口 ＋ 示	氵	示
凝	冫 ＋ 肄字旁 ＋ 龴 ＋ 疋	氵	定字底
几	几	几	几
凡	凡	几	几
凤	风省 ＋ 又	几	又
凫	鸟省 ＋ 几	鸟	几
凭	亻 ＋ 壬 ＋ 几	亻	几
凯	山 ＋ 己 ＋ 几	山	几
凰	风省 ＋ 白 ＋ 王	几	王
凳	登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 几	夕	几
凶	㐅 ＋ 凵	交	匚
凸	丨 ＋ 一 ＋ 丨 ＋ 折 ＋ 一	竖	横
