汉字	完整拆分	首根	末根
诶	讠 ＋ 厶 ＋ 矢	讠	矢
拚	扌 ＋ 厶 ＋ 廾	扌	廾
馀	饣 ＋ 全字头 ＋ 于 ＋ 八	饣	八
飚	⺇ ＋ 㐅 ＋ 火 ＋ 火 ＋ 火	⺇	火
囧	囗 ＋ 八 ＋ 贝字框	囗	贝字框
瓩	一 ＋ 折 ＋ 乙 ＋ 丶 ＋ 千	一	千
磺	石 ＋ 龷 ＋ 由 ＋ 八	石	八
珮	王 ＋ ⺇ ＋ 一 ＋ 巾	王	巾
後	彳 ＋ 幺 ＋ 夂	彳	夂
矽	石 ＋ 夕	石	夕
嚒	口 ＋ 广 ＋ 木 ＋ 木 ＋ 幺	口	幺
犤	牜 ＋ 罒 ＋ 厶 ＋ ⺝ ＋ 匕 ＋ 匕	牜	匕
甙	弋 ＋ 甘	弋	甘
犦	牜 ＋ 日 ＋ 龷 ＋ 八 ＋ 氺	牜	氺
羨	𦍌 ＋ 氵 ＋ ⺈ ＋ 人	𦍌	人
塽	土 ＋ 大 ＋ 㐅 ＋ 㐅 ＋ 㐅 ＋ 㐅	土	㐅
捱	扌 ＋ 厂 ＋ 土 ＋ 土	扌	土
鲶	鱼 ＋ 今 ＋ 心	鱼	心
堀	土 ＋ 尸 ＋ 凵 ＋ 山	土	山
佧	亻 ＋ ⺊ ＋ 一 ＋ 卜	亻	卜
椥	木 ＋ 矢 ＋ 口	木	口
樫	木 ＋ 臣 ＋ 又 ＋ 土	木	土
硷	石 ＋ 全字头 ＋ 一 ＋ 应字心	石	应字心
伱	亻 ＋ 全字头 ＋ 小	亻	小
丶	丶	丶	丶
崑	山 ＋ 日 ＋ 比左 ＋ 匕	山	匕
谘	讠 ＋ 冫 ＋ ⺈ ＋ 人 ＋ 口	讠	口
镟	钅 ＋ 方 ＋ 𠂉 ＋ 疋	钅	疋
畑	火 ＋ 田	火	田
堺	土 ＋ 田 ＋ 全字头 ＋ 乔字底	土	乔字底
晩	日 ＋ ⺈ ＋ 囗 ＋ 丨 ＋ 儿	日	儿
袊	衤 ＋ 令	衤	令
吥	口 ＋ 不	口	不
砦	止 ＋ 匕 ＋ 石	止	石
輖	車 ＋ ⺆ ＋ 土 ＋ 口	車	口
蠛	虫 ＋ 艹 ＋ 罒 ＋ 戊 ＋ 点	虫	点
舨	舟 ＋ 𠂆 ＋ 又	舟	又
伕	亻 ＋ 夫	亻	夫
髙	亠 ＋ 丨 ＋ 北字旁 ＋ 冂 ＋ 口	亠	口
鎯	全字头 ＋ 金字底 ＋ 丶 ＋ 即字旁 ＋ 阝	全字头	阝
囉	口 ＋ 罒 ＋ 幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 隹	口	隹
箝	⺮ ＋ 扌 ＋ 甘	⺮	甘
樋	木 ＋ 龴 ＋ 甬字底 ＋ 辶	木	辶
闇	門 ＋ 音	門	音
嬢	女 ＋ 亠 ＋ 八 ＋ 𠀎 ＋ 𧘇	女	𧘇
閒	門 ＋ 月	門	月
枌	木 ＋ 八 ＋ 刀	木	刀
暐	日 ＋ 折 ＋ 丨 ＋ 一 ＋ 口 ＋ 㐄	日	㐄
醣	酉 ＋ 广 ＋ 肀 ＋ 口	酉	口
梶	木 ＋ 尸 ＋ 毛	木	毛
糸	糸	糸	糸
眫	目 ＋ 丷 ＋ 举字底	目	举字底
蟳	虫 ＋ 彐 ＋ 工 ＋ 口 ＋ 寸	虫	寸
劵	龹 ＋ 力	龹	力
矇	目 ＋ 艹 ＋ 冖 ＋ 一 ＋ 豕	目	豕
囍	士 ＋ 口 ＋ 丷 ＋ 一 ＋ 口 ＋ 士 ＋ 口 ＋ 丷 ＋ 一 ＋ 口	士	口
岀	山 ＋ 山	山	山
嬅	女 ＋ 艹 ＋ 𠀎 ＋ 十	女	十
亻	亻	亻	亻
伹	亻 ＋ 且	亻	且
丨	丨	丨	丨
礽	礻 ＋ 乃	礻	乃
氵	氵	氵	氵
屌	尸 ＋ 口 ＋ 巾	尸	巾
吔	口 ＋ 也	口	也
噹	口 ＋ 党字头 ＋ 口 ＋ 田	口	田
咭	口 ＋ 士 ＋ 口	口	口
牠	牜 ＋ 也	牜	也
呯	口 ＋ 一 ＋ 丷 ＋ 十	口	十
罒	罒	罒	罒
澙	氵 ＋ 臼 ＋ 一 ＋ 折 ＋ 灬	氵	灬
囗	囗	囗	囗
嫲	女 ＋ 广 ＋ 木 ＋ 木	女	木
卐	折 ＋ 一 ＋ 丨 ＋ 一	折	一
嚐	口 ＋ 党字头 ＋ 口 ＋ 匕 ＋ 日	口	日
衖	彳 ＋ 龷 ＋ 八 ＋ 一 ＋ 丁	彳	丁
熳	火 ＋ 日 ＋ 罒 ＋ 又	火	又
厔	厂 ＋ 至	厂	至
钁	全字头 ＋ 金字底 ＋ 目 ＋ 目 ＋ 隹 ＋ 又	全字头	又
粍	米 ＋ 毛	米	毛
黒	里 ＋ 灬	里	灬
疋	疋	疋	疋
幵	一 ＋ 𠂇 ＋ 干	一	干
槻	木 ＋ 夫 ＋ 目 ＋ 儿	木	儿
冖	冖	冖	冖
鉾	全字头 ＋ 金字底 ＋ 厶 ＋ 牛	全字头	牛
準	氵 ＋ 隹 ＋ 十	氵	十
尅	十 ＋ 口 ＋ 儿 ＋ 寸	十	寸
菸	艹 ＋ 方 ＋ 全字头 ＋ 冬字底	艹	冬字底
榀	木 ＋ 口 ＋ 口 ＋ 口	木	口
痩	疒 ＋ 申 ＋ 又	疒	又
喰	口 ＋ 食	口	食
砳	石 ＋ 石	石	石
嬲	田 ＋ 力 ＋ 女 ＋ 田 ＋ 力	田	力
祂	礻 ＋ 也	礻	也
巿	一 ＋ 巾	一	巾
毑	母 ＋ 也	母	也
讬	讠 ＋ 撇 ＋ 七	讠	七
跫	工 ＋ 凡 ＋ 足	工	足
唻	口 ＋ 十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶	口	丶
朊	月 ＋ 一 ＋ 兀	月	兀
厶	厶	厶	厶
痠	疒 ＋ 厶 ＋ 八 ＋ 夂	疒	夂
徳	彳 ＋ 十 ＋ 罒 ＋ 心	彳	心
蹧	⻊ ＋ 一 ＋ 囗 ＋ 艹 ＋ 日	⻊	日
琹	玨 ＋ 木	玨	木
獕	犭 ＋ 山 ＋ 隹	犭	隹
辻	十 ＋ 辶	十	辶
娭	女 ＋ 厶 ＋ 矢	女	矢
槙	木 ＋ 十 ＋ 具字头 ＋ 八	木	八
唦	口 ＋ 氵 ＋ 小 ＋ 丿	口	丿
碁	其字头 ＋ 八 ＋ 石	其字头	石
僾	亻 ＋ 爫 ＋ 冖 ＋ 心 ＋ 夂	亻	夂
埈	土 ＋ 厶 ＋ 八 ＋ 夂	土	夂
気	气 ＋ 㐅	气	㐅
耲	耒 ＋ 亠 ＋ 罒 ＋ 丨 ＋ 冫 ＋ 撇 ＋ 点 ＋ 𧘇	耒	𧘇
扌	扌	扌	扌
湼	氵 ＋ 臼 ＋ 工	氵	工
幹	十 ＋ 日 ＋ 十 ＋ 全字头 ＋ 干	十	干
毬	毛 ＋ 一 ＋ 氺 ＋ 丶	毛	丶
歩	止 ＋ 小 ＋ 丿	止	丿
毎	𠂉 ＋ 毌	𠂉	毌
嵒	口 ＋ 口 ＋ 口 ＋ 山	口	山
馼	馬 ＋ 亠 ＋ 㐅	馬	㐅
俬	亻 ＋ 禾 ＋ 厶	亻	厶
灬	灬	灬	灬
钅	钅	钅	钅
劏	党字头 ＋ 口 ＋ 田 ＋ 刂	党字头	刂
峯	山 ＋ 夂 ＋ 丰	山	丰
枬	木 ＋ ⺆ ＋ 亠	木	亠
揲	扌 ＋ 廿 ＋ 折 ＋ 木	扌	木
铓	钅 ＋ 艹 ＋ 亡	钅	亡
賦	目 ＋ 八 ＋ 一 ＋ 弋 ＋ 止	目	止
亊	一 ＋ 丷 ＋ 折 ＋ 二 ＋ 竖	一	竖
凖	冫 ＋ 隹 ＋ 十	冫	十
揎	扌 ＋ 宀 ＋ 一 ＋ 日 ＋ 一	扌	一
唸	口 ＋ 今 ＋ 心	口	心
艹	艹	艹	艹
噁	口 ＋ 一 ＋ 丨 ＋ 一 ＋ 折 ＋ 折 ＋ 一 ＋ 丨 ＋ 一 ＋ 心	口	心
囝	囗 ＋ 子	囗	子
鈜	全字头 ＋ 金字底 ＋ 𠂇 ＋ 厶	全字头	厶
凃	冫 ＋ 全字头 ＋ 于 ＋ 八	冫	八
俤	亻 ＋ 弟	亻	弟
搿	龵 ＋ 全字头 ＋ 一 ＋ 口 ＋ 手	龵	手
氽	全字头 ＋ 水	全字头	水
霑	⻗ ＋ 氵 ＋ ⺊ ＋ 口	⻗	口
屮	凵 ＋ 丨	凵	丨
坶	土 ＋ 母	土	母
堦	土 ＋ 比左 ＋ 匕 ＋ 白	土	白
欷	㐅 ＋ 𠂇 ＋ 巾 ＋ ⺈ ＋ 人	㐅	人
屄	尸 ＋ 宀 ＋ 八	尸	八
別	口 ＋ 丿 ＋ 折 ＋ 刂	口	刂
犭	犭	犭	犭
淸	氵 ＋ 龶 ＋ 冂 ＋ 丨 ＋ 一	氵	一
佔	亻 ＋ ⺊ ＋ 口	亻	口
餵	全字头 ＋ 丶 ＋ 即字旁 ＋ 田 ＋ 畏下	全字头	畏下
尓	𠂉 ＋ 小	𠂉	小
纐	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 亠 ＋ 八 ＋ 㐅 ＋ 一 ＋ 自 ＋ 八	幺	八
岕	山 ＋ 全字头 ＋ 乔字底	山	乔字底
桖	木 ＋ 血	木	血
勣	龶 ＋ 目 ＋ 八 ＋ 力	龶	力
舺	舟 ＋ 甲	舟	甲
釆	釆	釆	釆
挢	扌 ＋ 乔	扌	乔
鴫	田 ＋ 鳥	田	鳥
毜	毛 ＋ 小	毛	小
趎	走 ＋ 朱	走	朱
丿	丿	丿	丿
歔	卜 ＋ 厂 ＋ 七 ＋ 业 ＋ ⺈ ＋ 人	卜	人
髈	骨 ＋ 帝字头 ＋ 方	骨	方
渒	氵 ＋ 白 ＋ 丿 ＋ 十	氵	十
礃	石 ＋ 党字头 ＋ 口 ＋ 手	石	手
烋	亻 ＋ 木 ＋ 灬	亻	灬
吜	口 ＋ 折 ＋ 土	口	土
觍	贝字框 ＋ 龷 ＋ 八 ＋ 见	贝字框	见
铔	钅 ＋ 亚	钅	亚
睒	目 ＋ 火 ＋ 火	目	火
侞	亻 ＋ 女 ＋ 口	亻	口
與	撇 ＋ ⺊ ＋ 一 ＋ 一 ＋ 折 ＋ 丨 ＋ 折 ＋ 二 ＋ 一 ＋ 八	撇	八
藂	艹 ＋ 耳 ＋ 又 ＋ 撇 ＋ 丨 ＋ 撇 ＋ 撇 ＋ 撇 ＋ 丶	艹	丶
壋	土 ＋ 党字头 ＋ 口 ＋ 田	土	田
彿	彳 ＋ 弗	彳	弗
剎	㐅 ＋ 木 ＋ 丶 ＋ 刂	㐅	刂
糬	米 ＋ 罒 ＋ 耂 ＋ 日	米	日
苳	艹 ＋ 夂 ＋ 冬字底	艹	冬字底
阢	阝 ＋ 兀	阝	兀
憣	忄 ＋ 釆 ＋ 田	忄	田
肜	月 ＋ 彡	月	彡
眞	匕 ＋ 目 ＋ 折 ＋ 八	匕	八
洩	氵 ＋ 日 ＋ 折 ＋ 丿	氵	丿
躭	身 ＋ 冖 ＋ 儿	身	儿
阝	阝	阝	阝
冇	𠂇 ＋ 冂	𠂇	冂
韇	革 ＋ 士 ＋ 罒 ＋ 目 ＋ 八	革	八
筸	⺮ ＋ 日 ＋ 干	⺮	干
幾	幺 ＋ 幺 ＋ 戈 ＋ 人	幺	人
銤	全字头 ＋ 金字底 ＋ 米	全字头	米
捲	扌 ＋ 龹 ＋ 㔾	扌	㔾
暍	日 ＋ 日 ＋ 匃	日	匃
鹓	宀 ＋ 夕 ＋ 㔾 ＋ 鸟	宀	鸟
揾	扌 ＋ 日 ＋ 皿	扌	皿
煐	火 ＋ 艹 ＋ 贝字框 ＋ 大	火	大
磆	石 ＋ 骨	石	骨
嫰	女 ＋ 束 ＋ ⺈ ＋ 人	女	人
霙	⻗ ＋ 艹 ＋ 贝字框 ＋ 大	⻗	大
傢	亻 ＋ 宀 ＋ 豕	亻	豕
鋕	全字头 ＋ 金字底 ＋ 士 ＋ 心	全字头	心
斲	折 ＋ 折 ＋ 一 ＋ 折 ＋ 折 ＋ 一 ＋ 折 ＋ 一 ＋ 丨 ＋ 一 ＋ 斤	折	斤
崐	山 ＋ 日 ＋ 比左 ＋ 匕	山	匕
鷟	方 ＋ 𠂉 ＋ 矢 ＋ 鳥	方	鳥
廾	廾	廾	廾
丂	一 ＋ 折	一	折
沵	氵 ＋ ⺈ ＋ 小	氵	小
燿	火 ＋ 习 ＋ 习 ＋ 隹	火	隹
杬	木 ＋ 一 ＋ 兀	木	兀
劻	匚 ＋ 王 ＋ 力	匚	力
梖	木 ＋ 目 ＋ 八	木	八
栱	木 ＋ 龷 ＋ 八	木	八
锠	钅 ＋ 日 ＋ 日	钅	日
攵	攵	攵	攵
砲	石 ＋ 勹 ＋ 巳	石	巳
杮	木 ＋ 一 ＋ 巾	木	巾
崙	山 ＋ 全字头 ＋ 一 ＋ 冂 ＋ 艹	山	艹
箑	⺮ ＋ 一 ＋ 肀 ＋ 龰	⺮	龰
龑	立 ＋ ⺝ ＋ 一 ＋ 折 ＋ 一 ＋ 折 ＋ 三 ＋ 天	立	天
籾	米 ＋ 刃	米	刃
秈	禾 ＋ 山	禾	山
穇	禾 ＋ 厶 ＋ 厶 ＋ 厶 ＋ 全字头 ＋ 彡	禾	彡
疒	疒	疒	疒
踫	⻊ ＋ 丷 ＋ 亚	⻊	亚
櫔	木 ＋ 厂 ＋ 艹 ＋ 日 ＋ 禺字底	木	禺字底
廼	西 ＋ 廴	西	廴
紮	木 ＋ 折 ＋ 糸	木	糸
纈	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 士 ＋ 口 ＋ 一 ＋ 自 ＋ 八	幺	八
緖	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 耂 ＋ 日 ＋ 丶	幺	丶
枒	木 ＋ 牙	木	牙
搕	扌 ＋ 土 ＋ 厶 ＋ 皿	扌	皿
覅	覀 ＋ 女 ＋ 勿	覀	勿
鵟	犭 ＋ 王 ＋ 鳥	犭	鳥
睏	目 ＋ 囗 ＋ 木	目	木
曚	日 ＋ 艹 ＋ 冖 ＋ 一 ＋ 豕	日	豕
啟	户 ＋ 口 ＋ 攵	户	攵
鮻	魚 ＋ 厶 ＋ 八 ＋ 夂	魚	夂
卍	折 ＋ 丨 ＋ 一 ＋ 丨	折	丨
粄	米 ＋ 𠂆 ＋ 又	米	又
菓	艹 ＋ 果	艹	果
皝	白 ＋ 王 ＋ ⺌ ＋ 兀	白	兀
瑴	士 ＋ 冖 ＋ 一 ＋ 王 ＋ 殳	士	殳
鎝	全字头 ＋ 金字底 ＋ 艹 ＋ 全字头 ＋ 一 ＋ 口	全字头	口
砩	石 ＋ 弗	石	弗
餬	全字头 ＋ 丶 ＋ 即字旁 ＋ 十 ＋ 口 ＋ 月	全字头	月
昰	日 ＋ 正	日	正
円	冂 ＋ 丨 ＋ 一	冂	一
沖	氵 ＋ 口 ＋ 竖	氵	竖
乣	幺 ＋ 折	幺	折
鱲	魚 ＋ 巛 ＋ 囗 ＋ 㐅 ＋ 折 ＋ 冬字底 ＋ 折 ＋ 冬字底 ＋ 折	魚	折
螓	虫 ＋ 𡗗 ＋ 禾	虫	禾
饣	饣	饣	饣
挻	扌 ＋ 撇 ＋ ⺊ ＋ 折 ＋ 廴	扌	廴
爕	言 ＋ 火 ＋ 火 ＋ 火	言	火
勹	勹	勹	勹
寀	宀 ＋ 采	宀	采
牴	牜 ＋ 氐	牜	氐
梱	木 ＋ 囗 ＋ 木	木	木
埧	土 ＋ 具字头 ＋ 八	土	八
唎	口 ＋ 禾 ＋ 刂	口	刂
喦	口 ＋ 口 ＋ 口 ＋ 山	口	山
禇	礻 ＋ 耂 ＋ 日	礻	日
刂	刂	刂	刂
缋	纟 ＋ 𠀐 ＋ 贝	纟	贝
鑨	全字头 ＋ 金字底 ＋ 立 ＋ ⺝ ＋ 一 ＋ 折 ＋ 一 ＋ 折 ＋ 三	全字头	三
媬	女 ＋ 亻 ＋ 口 ＋ 木	女	木
踧	⻊ ＋ 卜 ＋ 横 ＋ 小 ＋ 又	⻊	又
憝	亠 ＋ 口 ＋ 子 ＋ 攵 ＋ 心	亠	心
旉	甫 ＋ 方	甫	方
榥	木 ＋ 日 ＋ ⺌ ＋ 兀	木	兀
丌	丌	丌	丌
粔	米 ＋ 巨	米	巨
耞	耒 ＋ 力 ＋ 口	耒	口
粦	米 ＋ 夕 ＋ 㐄	米	㐄
牳	牜 ＋ 母	牜	母
猸	犭 ＋ 尸 ＋ 丨 ＋ 目	犭	目
鏱	全字头 ＋ 金字底 ＋ 音 ＋ 十	全字头	十
郷	乡 ＋ 即字旁 ＋ 阝	乡	阝
込	入 ＋ 辶	入	辶
饾	饣 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	饣	一
拫	扌 ＋ 艮	扌	艮
鐄	全字头 ＋ 金字底 ＋ 龷 ＋ 由 ＋ 八	全字头	八
壃	土 ＋ 一 ＋ 田 ＋ 一 ＋ 田 ＋ 一	土	一
傫	亻 ＋ 田 ＋ 糸	亻	糸
睌	目 ＋ 免	目	免
壪	土 ＋ 言 ＋ 幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 弓	土	弓
悞	忄 ＋ 口 ＋ 折 ＋ 大	忄	大
焮	火 ＋ 斤 ＋ ⺈ ＋ 人	火	人
讠	讠	讠	讠
焴	火 ＋ 亠 ＋ 厶 ＋ ⺝	火	⺝
菑	艹 ＋ 巛 ＋ 田	艹	田
摚	扌 ＋ 党字头 ＋ 口 ＋ 土	扌	土
卩	卩	卩	卩
痳	疒 ＋ 木 ＋ 木	疒	木
挼	扌 ＋ 爫 ＋ 女	扌	女
睖	目 ＋ 土 ＋ 八 ＋ 夂	目	夂
辶	辶	辶	辶
骻	骨 ＋ 大 ＋ 二 ＋ 折	骨	折
嗹	口 ＋ 車 ＋ 辶	口	辶
彡	彡	彡	彡
珶	王 ＋ 弟	王	弟
堮	土 ＋ 口 ＋ 口 ＋ 二 ＋ 折	土	折
鍙	氵 ＋ 龷 ＋ 八 ＋ 金	氵	金
彊	弓 ＋ 一 ＋ 田 ＋ 一 ＋ 田 ＋ 一	弓	一
钶	钅 ＋ 可	钅	可
啢	口 ＋ 一 ＋ 巾 ＋ 入 ＋ 入	口	入
臁	月 ＋ 广 ＋ 兼	月	兼
僴	亻 ＋ 門 ＋ 日	亻	日
噚	口 ＋ 彐 ＋ 工 ＋ 口 ＋ 寸	口	寸
欬	亥 ＋ ⺈ ＋ 人	亥	人
揹	扌 ＋ 北字旁 ＋ 匕 ＋ ⺝	扌	⺝
狚	犭 ＋ 日 ＋ 一	犭	一
汖	山 ＋ 水	山	水
舡	舟 ＋ 工	舟	工
娳	女 ＋ 禾 ＋ 刂	女	刂
栃	木 ＋ 𠂆 ＋ 万	木	万
謦	士 ＋ 尸 ＋ 丨 ＋ 殳 ＋ 言	士	言
坵	土 ＋ 丘	土	丘
佉	亻 ＋ 土 ＋ 厶	亻	厶
礻	礻	礻	礻
漥	氵 ＋ 宀 ＋ 八 ＋ 土 ＋ 土	氵	土
苢	艹 ＋ 㠯	艹	㠯
弌	弋 ＋ 一	弋	一
梹	木 ＋ 丘 ＋ 八	木	八
閤	門 ＋ 全字头 ＋ 一 ＋ 口	門	口
恏	女 ＋ 子 ＋ 心	女	心
祌	礻 ＋ 口 ＋ 竖	礻	竖
蓴	艹 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 寸	艹	寸
醜	酉 ＋ 鬼	酉	鬼
呟	口 ＋ 亠 ＋ 幺	口	幺
騤	馬 ＋ 癶 ＋ 天	馬	天
榎	木 ＋ 一 ＋ 自 ＋ 夂	木	夂
呿	口 ＋ 土 ＋ 厶	口	厶
痲	疒 ＋ 十 ＋ 丿 ＋ 折 ＋ 十 ＋ 丿 ＋ 折	疒	折
鞗	亻 ＋ 丨 ＋ 夂 ＋ 革	亻	革
痺	疒 ＋ 白 ＋ 丿 ＋ 十	疒	十
欉	木 ＋ 业 ＋ 南字心 ＋ 耳 ＋ 又	木	又
簦	⺮ ＋ 癶 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	⺮	一
柮	木 ＋ 凵 ＋ 山	木	山
鎚	全字头 ＋ 金字底 ＋ 𠂤 ＋ 辶	全字头	辶
唞	口 ＋ 扌 ＋ 冬字底 ＋ 十	口	十
尒	全字头 ＋ 小	全字头	小
栿	木 ＋ 亻 ＋ 犬	木	犬
佫	亻 ＋ 各	亻	各
寉	宀 ＋ 隹	宀	隹
鋐	全字头 ＋ 金字底 ＋ 宀 ＋ 𠂇 ＋ 厶	全字头	厶
斴	米 ＋ 夕 ＋ 㐄 ＋ 斤	米	斤
鋬	扌 ＋ 𠂆 ＋ 又 ＋ 金	扌	金
歳	止 ＋ 厂 ＋ 一 ＋ 小 ＋ 折 ＋ 撇 ＋ 丶	止	丶
剰	撇 ＋ 干 ＋ 丨 ＋ 木 ＋ 刂	撇	刂
屲	丿 ＋ 山	丿	山
縯	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 宀 ＋ 一 ＋ 由 ＋ 八	幺	八
迻	夕 ＋ 夕 ＋ 辶	夕	辶
兗	亠 ＋ 八 ＋ 口 ＋ 儿	亠	儿
儎	亻 ＋ 十 ＋ 戈 ＋ 車	亻	車
冫	冫	冫	冫
褔	衤 ＋ 一 ＋ 口 ＋ 田	衤	田
沬	氵 ＋ 未	氵	未
覚	学无子 ＋ 目 ＋ 儿	学无子	儿
澫	氵 ＋ 艹 ＋ 日 ＋ 禺字底	氵	禺字底
舖	全字头 ＋ 干 ＋ 口 ＋ 甫	全字头	甫
甽	田 ＋ 川	田	川
麴	十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶 ＋ 夂 ＋ 勹 ＋ 米	十	米
絛	亻 ＋ 丨 ＋ 夂 ＋ 糸	亻	糸
焼	火 ＋ 十 ＋ 艹 ＋ 兀	火	兀
矟	矛 ＋ ⺌ ＋ ⺝	矛	⺝
塮	土 ＋ 身 ＋ 寸	土	寸
訏	言 ＋ 于	言	于
揺	扌 ＋ 爫 ＋ 干 ＋ 凵	扌	凵
曣	日 ＋ 廿 ＋ 口 ＋ 北字旁 ＋ 匕 ＋ 灬	日	灬
栬	木 ＋ ⺈ ＋ 巴	木	巴
栢	木 ＋ 一 ＋ 白	木	白
昞	日 ＋ 一 ＋ 冂 ＋ 人	日	人
囯	囗 ＋ 王	囗	王
喚	口 ＋ ⺈ ＋ 贝字框 ＋ 八 ＋ 大	口	大
蝍	虫 ＋ 即字旁 ＋ 卩	虫	卩
椇	木 ＋ 具字头 ＋ 八	木	八
齡	止 ＋ 人 ＋ 人 ＋ 一 ＋ 人 ＋ 人 ＋ 凵 ＋ 令	止	令
竜	立 ＋ 龟字底	立	龟字底
棆	木 ＋ 全字头 ＋ 一 ＋ 冂 ＋ 艹	木	艹
駹	馬 ＋ 𠂇 ＋ 折 ＋ 彡 ＋ 丶	馬	丶
乇	撇 ＋ 七	撇	七
義	𦍌 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	𦍌	戈
筰	⺮ ＋ 亻 ＋ 乍	⺮	乍
鋡	全字头 ＋ 金字底 ＋ 今 ＋ 口	全字头	口
憓	忄 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 心	忄	心
暻	日 ＋ 日 ＋ 亠 ＋ 口 ＋ 小	日	小
喨	口 ＋ 亠 ＋ 口 ＋ 冖 ＋ 几	口	几
宀	宀	宀	宀
抐	扌 ＋ 冂 ＋ 人	扌	人
鐥	全字头 ＋ 金字底 ＋ 羊 ＋ 丷 ＋ 一 ＋ 口	全字头	口
莊	艹 ＋ 爿 ＋ 士	艹	士
庒	广 ＋ 土 ＋ 丶	广	丶
塭	土 ＋ 日 ＋ 皿	土	皿
仚	全字头 ＋ 山	全字头	山
籯	⺮ ＋ 亡 ＋ 口 ＋ 月 ＋ 目 ＋ 八 ＋ 凡	⺮	凡
伬	亻 ＋ 尺	亻	尺
茇	艹 ＋ 𠂇 ＋ 又 ＋ 丶	艹	丶
茤	艹 ＋ 夕 ＋ 夕	艹	夕
玸	王 ＋ 勹 ＋ 巳	王	巳
吿	牛 ＋ 口	牛	口
刲	土 ＋ 土 ＋ 刂	土	刂
蛯	虫 ＋ 耂 ＋ 匕	虫	匕
埨	土 ＋ 全字头 ＋ 一 ＋ 冂 ＋ 艹	土	艹
倷	亻 ＋ 大 ＋ 示	亻	示
倗	亻 ＋ 月 ＋ 月	亻	月
桇	女 ＋ 口 ＋ 木	女	木
稊	禾 ＋ 弟	禾	弟
寔	宀 ＋ 日 ＋ 定字底	宀	定字底
璹	王 ＋ 士 ＋ 折 ＋ 工 ＋ 一 ＋ 口 ＋ 寸	王	寸
夂	夂	夂	夂
鮠	魚 ＋ ⺈ ＋ 厂 ＋ 㔾	魚	㔾
忄	忄	忄	忄
衤	衤	衤	衤
熖	火 ＋ 爫 ＋ 臼	火	臼
鷃	日 ＋ 宀 ＋ 女 ＋ 鳥	日	鳥
渕	氵 ＋ 丷 ＋ 天 ＋ 刂	氵	刂
鴥	鳥 ＋ 宀 ＋ 八	鳥	八
狖	犭 ＋ 宀 ＋ 八	犭	八
牸	牜 ＋ 宀 ＋ 子	牜	子
廸	由 ＋ 廴	由	廴
痾	疒 ＋ 阝 ＋ 可	疒	可
柉	木 ＋ 撇 ＋ 之	木	之
棡	木 ＋ 冂 ＋ 丷 ＋ 一 ＋ 山	木	山
滈	氵 ＋ 亠 ＋ 口 ＋ 冂 ＋ 口	氵	口
巣	丶 ＋ 丷 ＋ 果	丶	果
冂	冂	冂	冂
靦	面 ＋ 目 ＋ 儿	面	儿
枿	木 ＋ 十 ＋ 廾	木	廾
櫶	木 ＋ 宀 ＋ 丰 ＋ 罒 ＋ 心	木	心
缷	缶 ＋ 卩	缶	卩
遊	方 ＋ 𠂉 ＋ 子 ＋ 辶	方	辶
厓	厂 ＋ 土 ＋ 土	厂	土
蓭	艹 ＋ 广 ＋ 大 ＋ 电	艹	电
粃	米 ＋ 比左 ＋ 匕	米	匕
湢	氵 ＋ 一 ＋ 口 ＋ 田	氵	田
髟	一 ＋ ⺊ ＋ 二 ＋ 厶 ＋ 彡	一	彡
佈	亻 ＋ 𠂇 ＋ 巾	亻	巾
礤	石 ＋ 艹 ＋ 祭字头 ＋ 示	石	示
篸	⺮ ＋ 厶 ＋ 厶 ＋ 厶 ＋ 全字头 ＋ 彡	⺮	彡
衕	彳 ＋ 冂 ＋ 一 ＋ 口 ＋ 一 ＋ 丁	彳	丁
蝜	虫 ＋ ⺈ ＋ 目 ＋ 八	虫	八
抲	扌 ＋ 可	扌	可
伡	亻 ＋ 车	亻	车
蓳	艹 ＋ 廿 ＋ 口 ＋ 龶	艹	龶
夅	夂 ＋ 㐄	夂	㐄
凵	凵	凵	凵
鉧	全字头 ＋ 金字底 ＋ 母	全字头	母
拑	扌 ＋ 甘	扌	甘
葇	艹 ＋ 矛 ＋ 木	艹	木
渋	氵 ＋ 止 ＋ 冫 ＋ 撇 ＋ 点	氵	点
畇	田 ＋ 勹 ＋ 冫	田	冫
槖	士 ＋ 冖 ＋ 石 ＋ 木	士	木
糰	米 ＋ 囗 ＋ 一 ＋ 申 ＋ 一 ＋ 丶 ＋ 寸	米	寸
