汉字	完整拆分	首根	末根
㑇	亻 ＋ ⺈ ＋ 彐	亻	彐
㑊	亻 ＋ 亦	亻	亦
㕮	口 ＋ 八 ＋ 㐅	口	㐅
㘎	口 ＋ 门 ＋ 折 ＋ 耳 ＋ 攵	口	攵
㙍	土 ＋ 又 ＋ 又 ＋ 又 ＋ 又	土	又
㙘	土 ＋ 覀 ＋ 女	土	女
㙦	全字头 ＋ 于 ＋ 八 ＋ 冬字底 ＋ 十 ＋ 土	全字头	土
㛃	丰 ＋ 刀 ＋ 女	丰	女
㛚	女 ＋ 龴 ＋ 甬字底	女	甬字底
㛹	女 ＋ 亻 ＋ 一 ＋ 日 ＋ 㐅	女	㐅
㟃	山 ＋ 折 ＋ 一 ＋ 口	山	口
㠇	山 ＋ 亠 ＋ 口 ＋ 小 ＋ 尤	山	尤
㠓	山 ＋ 艹 ＋ 冖 ＋ 一 ＋ 豕	山	豕
㤘	忄 ＋ ⺈ ＋ 彐	忄	彐
㥄	忄 ＋ 土 ＋ 八 ＋ 夂	忄	夂
㧐	扌 ＋ 又 ＋ 又	扌	又
㧑	扌 ＋ 为	扌	为
㧟	扌 ＋ 氵 ＋ 匚	扌	匚
㫰	日 ＋ 丶 ＋ 艮	日	艮
㬊	日 ＋ 爫 ＋ 一 ＋ 𠂇 ＋ 又	日	又
㬎	日 ＋ 幺 ＋ 幺 ＋ 灬	日	灬
㬚	日 ＋ 亠 ＋ 厶 ＋ ⺝ ＋ 攵	日	攵
㭎	木 ＋ 冂 ＋ 㐅	木	㐅
㭕	木 ＋ 土 ＋ 厶	木	厶
㮾	丶 ＋ 即字旁 ＋ 月 ＋ 木	丶	木
㰀	木 ＋ 禾 ＋ 勹 ＋ 丿 ＋ 全字头 ＋ 氺	木	氺
㳇	氵 ＋ 八 ＋ 㐅	氵	㐅
㳘	氵 ＋ 亠 ＋ 厶 ＋ 儿	氵	儿
㳚	氵 ＋ 戊 ＋ 点	氵	点
㴔	氵 ＋ ⺈ ＋ 彐 ＋ 心	氵	心
㵐	氵 ＋ 厂 ＋ 丷 ＋ 一 ＋ 凵 ＋ 丿 ＋ ⺈ ＋ 人	氵	人
㶲	火 ＋ 用	火	用
㸆	火 ＋ ⺧ ＋ 口 ＋ 非	火	非
㸌	火 ＋ ⻗ ＋ 隹	火	隹
㺄	犭 ＋ 全字头 ＋ 一 ＋ ⺝ ＋ 刂	犭	刂
㻬	王 ＋ ⻗ ＋ 二 ＋ 折	王	折
㽏	氵 ＋ 全字头 ＋ 一 ＋ 口 ＋ 甘	氵	甘
㿠	白 ＋ ⺌ ＋ 兀	白	兀
䁖	目 ＋ 米 ＋ 女	目	女
䂮	丰 ＋ 刀 ＋ 石	丰	石
䃅	石 ＋ 单	石	单
䃎	石 ＋ 大 ＋ 夕 ＋ 夕	石	夕
䅟	禾 ＋ 厶 ＋ 大 ＋ 彡	禾	彡
䌹	纟 ＋ 冂 ＋ 口	纟	口
䎃	冂 ＋ 土 ＋ 习 ＋ 习	冂	习
䎖	丷 ＋ 囗 ＋ ⺌ ＋ 日 ＋ 习 ＋ 习	丷	习
䏝	月 ＋ 二 ＋ 折 ＋ 点	月	点
䏡	月 ＋ 示	月	示
䏲	月 ＋ 弟	月	弟
䐃	月 ＋ 囗 ＋ 禾	月	禾
䓖	艹 ＋ 宀 ＋ 八 ＋ 力	艹	力
䓛	艹 ＋ 尸 ＋ 凵 ＋ 山	艹	山
䓨	艹 ＋ 冖 ＋ 缶	艹	缶
䓫	艹 ＋ 大 ＋ 可	艹	可
䓬	艹 ＋ ⺊ ＋ 日 ＋ 十	艹	十
䗖	虫 ＋ 带字头 ＋ 冖 ＋ 巾	虫	巾
䗛	虫 ＋ 亻 ＋ 丨 ＋ 夂 ＋ ⺝	虫	⺝
䗪	广 ＋ 廿 ＋ 灬 ＋ 虫	广	虫
䗴	虫 ＋ ⺮ ＋ 壬 ＋ 廴	虫	廴
䜣	讠 ＋ 斤	讠	斤
䝙	豸 ＋ 匚 ＋ 㐅	豸	㐅
䢺	凵 ＋ 山 ＋ 阝	凵	阝
䢼	龷 ＋ 八 ＋ 阝	龷	阝
䣘	党字头 ＋ 口 ＋ 土 ＋ 阝	党字头	阝
䥽	钅 ＋ 折 ＋ 撇 ＋ 又 ＋ 点	钅	点
䦃	钅 ＋ 艹 ＋ 耂 ＋ 日	钅	日
䲟	鱼 ＋ 印	鱼	印
䲠	鱼 ＋ 𡗗 ＋ 日	鱼	日
䲢	月 ＋ 龹 ＋ 鱼	月	鱼
䴓	一 ＋ 巾 ＋ 鸟	一	鸟
䴔	亠 ＋ 八 ＋ 㐅 ＋ 鸟	亠	鸟
䴕	歹 ＋ 刂 ＋ 鸟	歹	鸟
䴖	龶 ＋ ⺝ ＋ 鸟	龶	鸟
䴗	目 ＋ 犬 ＋ 鸟	目	鸟
䴘	𠂆 ＋ 卜 ＋ 厂 ＋ 七 ＋ 几 ＋ 鸟	𠂆	鸟
䴙	尸 ＋ 口 ＋ 辛 ＋ 鸟	尸	鸟
䶮	龙 ＋ 天	龙	天
一	一	一	一
丁	丁	丁	丁
七	七	七	七
万	万	万	万
丈	横 ＋ 乂	横	乂
三	三	三	三
上	卜 ＋ 横	卜	横
下	横 ＋ 卜	横	卜
不	不	不	不
与	一 ＋ 折 ＋ 一	一	一
丏	一 ＋ 丨 ＋ 折 ＋ 折	一	折
丐	一 ＋ ⺊ ＋ 折	一	折
丑	折 ＋ 土	折	土
专	二 ＋ 折 ＋ 点	二	点
且	且	且	且
丕	不 ＋ 一	不	一
世	廿 ＋ 折	廿	折
丘	丘	丘	丘
丙	一 ＋ 冂 ＋ 人	一	人
业	业	业	业
丛	人 ＋ 人 ＋ 一	人	一
东	东	东	东
丝	纟 ＋ 纟	纟	纟
丞	折 ＋ 水 ＋ 一	折	一
丢	撇 ＋ 土 ＋ 厶	撇	厶
两	两	两	两
严	亚 ＋ 丿	亚	丿
丧	十 ＋ 丷 ＋ 畏下	十	畏下
个	全字头 ＋ 丨	全字头	丨
丫	丷 ＋ 丨	丷	丨
中	口 ＋ 竖	口	竖
丰	丰	丰	丰
串	口 ＋ 口 ＋ 丨	口	丨
临	丨 ＋ 丨 ＋ 𠂉 ＋ 丶 ＋ 囗 ＋ 竖	丨	竖
丸	丸	丸	丸
丹	⺆ ＋ 亠	⺆	亠
为	为	为	为
主	亠 ＋ 土	亠	土
丽	丽	丽	丽
举	应字心 ＋ 八 ＋ 举字底	应字心	举字底
乂	㐅	㐅	㐅
乃	乃	乃	乃
久	久	久	久
么	丿 ＋ 厶	丿	厶
义	丶 ＋ 㐅	丶	㐅
之	之	之	之
乌	乌	乌	乌
乍	乍	乍	乍
乎	撇 ＋ 丷 ＋ 一 ＋ 竖	撇	竖
乏	撇 ＋ 之	撇	之
乐	乐	乐	乐
乒	丘 ＋ 丿	丘	丿
乓	丘 ＋ 丶	丘	丶
乔	乔	乔	乔
乖	千 ＋ 北字旁 ＋ 匕	千	匕
乘	禾 ＋ 北字旁 ＋ 匕	禾	匕
乙	乙	乙	乙
乜	折 ＋ 折	折	折
九	九	九	九
乞	𠂉 ＋ 乙	𠂉	乙
也	也	也	也
习	习	习	习
乡	乡	乡	乡
书	折 ＋ 折 ＋ 丨 ＋ 丶	折	丶
乩	⺊ ＋ 口 ＋ 折	⺊	折
买	折 ＋ 冬字底 ＋ 大	折	大
乱	千 ＋ 口 ＋ 折	千	折
乳	爫 ＋ 子 ＋ 折	爫	折
乸	也 ＋ 母	也	母
乾	十 ＋ 日 ＋ 十 ＋ 𠂉 ＋ 乙	十	乙
了	了	了	了
予	予	予	予
争	⺈ ＋ 争字底	⺈	争字底
事	横 ＋ 口 ＋ 争字底	横	争字底
二	二	二	二
亍	一 ＋ 丁	一	丁
于	于	于	于
亏	二 ＋ 折	二	折
云	二 ＋ 厶	二	厶
互	互	互	互
亓	一 ＋ 丌	一	丌
五	五	五	五
井	井	井	井
亘	一 ＋ 日 ＋ 一	一	一
亚	亚	亚	亚
些	止 ＋ 匕 ＋ 二	止	二
亟	了 ＋ 口 ＋ 又 ＋ 一	了	一
亡	亡	亡	亡
亢	亠 ＋ 几	亠	几
交	亠 ＋ 八 ＋ 㐅	亠	㐅
亥	亥	亥	亥
亦	亦	亦	亦
产	立 ＋ 丿	立	丿
亨	亠 ＋ 口 ＋ 了	亠	了
亩	亠 ＋ 田	亠	田
享	亠 ＋ 口 ＋ 子	亠	子
京	亠 ＋ 口 ＋ 小	亠	小
亭	亠 ＋ 口 ＋ 冖 ＋ 丁	亠	丁
亮	亠 ＋ 口 ＋ 冖 ＋ 几	亠	几
亲	立 ＋ 一 ＋ 小	立	小
亳	亠 ＋ 口 ＋ 冖 ＋ 撇 ＋ 七	亠	七
亵	衣 ＋ 扌 ＋ 丸	衣	丸
亶	亠 ＋ 囗 ＋ 口 ＋ 日 ＋ 一	亠	一
亸	亠 ＋ 口 ＋ 子 ＋ 单	亠	单
亹	亠 ＋ 撇 ＋ ⺊ ＋ 一 ＋ 冂 ＋ 一 ＋ 口 ＋ 折 ＋ 二 ＋ 冖 ＋ 且	亠	且
人	人	人	人
亿	亻 ＋ 乙	亻	乙
什	亻 ＋ 十	亻	十
仁	亻 ＋ 二	亻	二
仂	亻 ＋ 力	亻	力
仃	亻 ＋ 丁	亻	丁
仄	厂 ＋ 人	厂	人
仅	亻 ＋ 又	亻	又
仆	亻 ＋ 卜	亻	卜
仇	亻 ＋ 九	亻	九
仉	亻 ＋ 几	亻	几
今	今	今	今
介	全字头 ＋ 乔字底	全字头	乔字底
仍	亻 ＋ 乃	亻	乃
从	人 ＋ 人	人	人
仑	全字头 ＋ 匕	全字头	匕
仓	全字头 ＋ 㔾	全字头	㔾
仔	亻 ＋ 子	亻	子
仕	亻 ＋ 士	亻	士
他	亻 ＋ 也	亻	也
仗	亻 ＋ 横 ＋ 乂	亻	乂
付	付	付	付
仙	亻 ＋ 山	亻	山
仝	全字头 ＋ 工	全字头	工
仞	亻 ＋ 刃	亻	刃
仟	亻 ＋ 千	亻	千
仡	亻 ＋ 𠂉 ＋ 乙	亻	乙
代	亻 ＋ 弋	亻	弋
令	令	令	令
以	以	以	以
仨	亻 ＋ 三	亻	三
仪	亻 ＋ 丶 ＋ 㐅	亻	㐅
仫	亻 ＋ 丿 ＋ 厶	亻	厶
们	亻 ＋ 门	亻	门
仰	亻 ＋ 卬	亻	卬
仲	亻 ＋ 口 ＋ 竖	亻	竖
仳	亻 ＋ 比左 ＋ 匕	亻	匕
仵	亻 ＋ 午	亻	午
件	亻 ＋ 牛	亻	牛
价	亻 ＋ 全字头 ＋ 乔字底	亻	乔字底
任	亻 ＋ 壬	亻	壬
份	亻 ＋ 八 ＋ 刀	亻	刀
仿	亻 ＋ 方	亻	方
企	全字头 ＋ 止	全字头	止
伈	亻 ＋ 心	亻	心
伉	亻 ＋ 亠 ＋ 几	亻	几
伊	亻 ＋ 争字底 ＋ 撇	亻	撇
伋	亻 ＋ 及	亻	及
伍	亻 ＋ 五	亻	五
伎	亻 ＋ 支	亻	支
伏	亻 ＋ 犬	亻	犬
伐	亻 ＋ 戈	亻	戈
休	亻 ＋ 木	亻	木
众	全字头 ＋ 人 ＋ 人	全字头	人
优	亻 ＋ 尤	亻	尤
伙	亻 ＋ 火	亻	火
会	全字头 ＋ 二 ＋ 厶	全字头	厶
伛	亻 ＋ 匚 ＋ 㐅	亻	㐅
伞	全字头 ＋ 丷 ＋ 十	全字头	十
伟	亻 ＋ 韦	亻	韦
传	亻 ＋ 二 ＋ 折 ＋ 点	亻	点
伢	亻 ＋ 牙	亻	牙
伣	亻 ＋ 见	亻	见
伤	亻 ＋ 𠂉 ＋ 力	亻	力
伥	亻 ＋ 长	亻	长
伦	亻 ＋ 全字头 ＋ 匕	亻	匕
伧	亻 ＋ 全字头 ＋ 㔾	亻	㔾
伪	亻 ＋ 为	亻	为
伫	亻 ＋ 宀 ＋ 一	亻	一
伭	亻 ＋ 亠 ＋ 幺	亻	幺
伯	亻 ＋ 白	亻	白
估	亻 ＋ 十 ＋ 口	亻	口
伲	亻 ＋ 尸 ＋ 匕	亻	匕
伴	亻 ＋ 丷 ＋ 举字底	亻	举字底
伶	亻 ＋ 令	亻	令
伸	亻 ＋ 申	亻	申
伺	亻 ＋ 折 ＋ 一 ＋ 口	亻	口
似	亻 ＋ 以	亻	以
伽	亻 ＋ 力 ＋ 口	亻	口
伾	亻 ＋ 不 ＋ 一	亻	一
佁	亻 ＋ 厶 ＋ 口	亻	口
佃	亻 ＋ 田	亻	田
但	亻 ＋ 日 ＋ 一	亻	一
位	亻 ＋ 立	亻	立
低	亻 ＋ 氐	亻	氐
住	亻 ＋ 亠 ＋ 土	亻	土
佐	亻 ＋ 𠂇 ＋ 工	亻	工
佑	亻 ＋ 𠂇 ＋ 口	亻	口
体	亻 ＋ 木 ＋ 一	亻	一
何	亻 ＋ 可	亻	可
佖	亻 ＋ 必	亻	必
佗	亻 ＋ 宀 ＋ 匕	亻	匕
佘	全字头 ＋ 示	全字头	示
余	全字头 ＋ 于 ＋ 八	全字头	八
佚	亻 ＋ 失	亻	失
佛	亻 ＋ 弗	亻	弗
作	亻 ＋ 乍	亻	乍
佝	亻 ＋ 勹 ＋ 口	亻	口
佞	亻 ＋ 二 ＋ 女	亻	女
佟	亻 ＋ 夂 ＋ 冬字底	亻	冬字底
你	亻 ＋ ⺈ ＋ 小	亻	小
佣	亻 ＋ 用	亻	用
佤	亻 ＋ 一 ＋ 折 ＋ 乙 ＋ 丶	亻	丶
佥	全字头 ＋ 一 ＋ 应字心	全字头	应字心
佩	亻 ＋ ⺇ ＋ 一 ＋ 巾	亻	巾
佬	亻 ＋ 耂 ＋ 匕	亻	匕
佯	亻 ＋ 羊	亻	羊
佰	亻 ＋ 一 ＋ 白	亻	白
佳	亻 ＋ 土 ＋ 土	亻	土
佴	亻 ＋ 耳	亻	耳
佶	亻 ＋ 士 ＋ 口	亻	口
佸	亻 ＋ 千 ＋ 口	亻	口
佺	亻 ＋ 全字头 ＋ 王	亻	王
佻	亻 ＋ 冫 ＋ 冫 ＋ 儿	亻	儿
佼	亻 ＋ 亠 ＋ 八 ＋ 㐅	亻	㐅
佽	亻 ＋ 冫 ＋ ⺈ ＋ 人	亻	人
佾	亻 ＋ 八 ＋ ⺝	亻	⺝
使	亻 ＋ 横 ＋ 口 ＋ 乂	亻	乂
侁	亻 ＋ ⺧ ＋ 儿	亻	儿
侂	亻 ＋ 广 ＋ 撇 ＋ 七	亻	七
侃	亻 ＋ 口 ＋ 荒字底	亻	荒字底
侄	亻 ＋ 至	亻	至
侈	亻 ＋ 夕 ＋ 夕	亻	夕
侉	亻 ＋ 大 ＋ 二 ＋ 折	亻	折
例	亻 ＋ 歹 ＋ 刂	亻	刂
侍	亻 ＋ 土 ＋ 寸	亻	寸
侏	亻 ＋ 朱	亻	朱
侑	亻 ＋ 𠂇 ＋ ⺝	亻	⺝
侔	亻 ＋ 厶 ＋ 牛	亻	牛
侗	亻 ＋ 冂 ＋ 一 ＋ 口	亻	口
侘	亻 ＋ 宀 ＋ 撇 ＋ 七	亻	七
供	亻 ＋ 龷 ＋ 八	亻	八
依	亻 ＋ 衣	亻	衣
侠	亻 ＋ 一 ＋ 丷 ＋ 大	亻	大
侣	亻 ＋ 口 ＋ 口	亻	口
侥	亻 ＋ 一 ＋ 折 ＋ 撇 ＋ 兀	亻	兀
侦	亻 ＋ ⺊ ＋ 贝	亻	贝
侧	亻 ＋ 贝 ＋ 刂	亻	刂
侨	亻 ＋ 乔	亻	乔
侩	亻 ＋ 全字头 ＋ 二 ＋ 厶	亻	厶
侪	亻 ＋ 亠 ＋ 㐅 ＋ 乔字底	亻	乔字底
侬	亻 ＋ 冖 ＋ 𧘇	亻	𧘇
侮	亻 ＋ 𠂉 ＋ 母	亻	母
侯	亻 ＋ 折 ＋ 一 ＋ 矢	亻	矢
侴	全字头 ＋ 一 ＋ 折 ＋ 土 ＋ 刂	全字头	刂
侵	亻 ＋ 彐 ＋ 冖 ＋ 又	亻	又
侹	亻 ＋ 壬 ＋ 廴	亻	廴
便	亻 ＋ 一 ＋ 日 ＋ 㐅	亻	㐅
促	亻 ＋ 足	亻	足
俄	亻 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	亻	戈
俅	亻 ＋ 一 ＋ 氺 ＋ 丶	亻	丶
俊	亻 ＋ 厶 ＋ 八 ＋ 夂	亻	夂
俍	亻 ＋ 丶 ＋ 艮	亻	艮
俎	人 ＋ 人 ＋ 且	人	且
俏	亻 ＋ ⺌ ＋ ⺝	亻	⺝
俐	亻 ＋ 禾 ＋ 刂	亻	刂
俑	亻 ＋ 龴 ＋ 甬字底	亻	甬字底
俗	亻 ＋ 八 ＋ 全字头 ＋ 口	亻	口
俘	亻 ＋ 爫 ＋ 子	亻	子
俙	亻 ＋ 㐅 ＋ 𠂇 ＋ 巾	亻	巾
俚	亻 ＋ 里	亻	里
俜	亻 ＋ 由 ＋ 一 ＋ 折	亻	折
保	亻 ＋ 口 ＋ 木	亻	木
俞	全字头 ＋ 一 ＋ ⺝ ＋ 刂	全字头	刂
俟	亻 ＋ 厶 ＋ 矢	亻	矢
信	亻 ＋ 言	亻	言
俣	亻 ＋ 口 ＋ 天	亻	天
俦	亻 ＋ 三 ＋ 丿 ＋ 寸	亻	寸
俨	亻 ＋ 亚 ＋ 丿	亻	丿
俩	亻 ＋ 两	亻	两
俪	亻 ＋ 丽	亻	丽
俫	亻 ＋ 来	亻	来
俭	亻 ＋ 全字头 ＋ 一 ＋ 应字心	亻	应字心
修	亻 ＋ 丨 ＋ 夂 ＋ 彡	亻	彡
俯	亻 ＋ 广 ＋ 付	亻	付
俱	亻 ＋ 具字头 ＋ 八	亻	八
俳	亻 ＋ 非	亻	非
俵	亻 ＋ 龶 ＋ 𧘇	亻	𧘇
俶	亻 ＋ 卜 ＋ 横 ＋ 小 ＋ 又	亻	又
俸	亻 ＋ 𡗗 ＋ 举字底	亻	举字底
俺	亻 ＋ 大 ＋ 电	亻	电
俾	亻 ＋ 白 ＋ 丿 ＋ 十	亻	十
倌	亻 ＋ 宀 ＋ 㠯	亻	㠯
倍	亻 ＋ 立 ＋ 口	亻	口
倏	亻 ＋ 丨 ＋ 夂 ＋ 犬	亻	犬
倒	亻 ＋ 至 ＋ 刂	亻	刂
倓	亻 ＋ 火 ＋ 火	亻	火
倔	亻 ＋ 尸 ＋ 凵 ＋ 山	亻	山
倕	亻 ＋ 千 ＋ 龷 ＋ 一	亻	一
倘	亻 ＋ ⺌ ＋ 冂 ＋ 口	亻	口
候	亻 ＋ 丨 ＋ 折 ＋ 一 ＋ 矢	亻	矢
倚	亻 ＋ 大 ＋ 可	亻	可
倜	亻 ＋ ⺆ ＋ 土 ＋ 口	亻	口
倞	亻 ＋ 亠 ＋ 口 ＋ 小	亻	小
借	亻 ＋ 龷 ＋ 日	亻	日
倡	亻 ＋ 日 ＋ 日	亻	日
倥	亻 ＋ 宀 ＋ 八 ＋ 工	亻	工
倦	亻 ＋ 龹 ＋ 㔾	亻	㔾
倧	亻 ＋ 宀 ＋ 示	亻	示
倨	亻 ＋ 尸 ＋ 十 ＋ 口	亻	口
倩	亻 ＋ 龶 ＋ ⺝	亻	⺝
倪	亻 ＋ 臼 ＋ 儿	亻	儿
倬	亻 ＋ ⺊ ＋ 日 ＋ 十	亻	十
倭	亻 ＋ 禾 ＋ 女	亻	女
倮	亻 ＋ 果	亻	果
倴	亻 ＋ 大 ＋ 十 ＋ 廾	亻	廾
债	亻 ＋ 龶 ＋ 贝	亻	贝
倻	亻 ＋ 耳 ＋ 阝	亻	阝
值	亻 ＋ 十 ＋ 具字头	亻	具字头
倾	亻 ＋ 比左 ＋ 一 ＋ 丿 ＋ 贝	亻	贝
偁	亻 ＋ 爫 ＋ 冂 ＋ 土	亻	土
偃	亻 ＋ 匚 ＋ 日 ＋ 女	亻	女
假	亻 ＋ 折 ＋ 一 ＋ ⺊ ＋ 一 ＋ 折 ＋ 一 ＋ 又	亻	又
偈	亻 ＋ 日 ＋ 匃	亻	匃
偌	亻 ＋ 艹 ＋ 𠂇 ＋ 口	亻	口
偎	亻 ＋ 田 ＋ 畏下	亻	畏下
偏	亻 ＋ 户 ＋ 冂 ＋ 艹	亻	艹
偓	亻 ＋ 尸 ＋ 至	亻	至
偕	亻 ＋ 比左 ＋ 匕 ＋ 白	亻	白
做	亻 ＋ 十 ＋ 口 ＋ 攵	亻	攵
停	亻 ＋ 亠 ＋ 口 ＋ 冖 ＋ 丁	亻	丁
偡	亻 ＋ 其字头 ＋ 八 ＋ 折	亻	折
健	亻 ＋ 聿 ＋ 廴	亻	廴
偬	亻 ＋ 勿 ＋ 点 ＋ 心	亻	心
偭	亻 ＋ 面	亻	面
偰	亻 ＋ 丰 ＋ 刀 ＋ 大	亻	大
偲	亻 ＋ 田 ＋ 心	亻	心
偶	亻 ＋ 日 ＋ 禺字底	亻	禺字底
偷	亻 ＋ 全字头 ＋ 一 ＋ ⺝ ＋ 刂	亻	刂
偻	亻 ＋ 米 ＋ 女	亻	女
偾	亻 ＋ 十 ＋ 艹 ＋ 贝	亻	贝
偿	亻 ＋ 党字头 ＋ 二 ＋ 厶	亻	厶
傀	亻 ＋ 鬼	亻	鬼
傃	亻 ＋ 龶 ＋ 糸	亻	糸
傅	亻 ＋ 甫 ＋ 寸	亻	寸
傈	亻 ＋ 覀 ＋ 木	亻	木
傉	亻 ＋ 辰 ＋ 寸	亻	寸
傍	亻 ＋ 帝字头 ＋ 方	亻	方
傒	亻 ＋ 爫 ＋ 幺 ＋ 大	亻	大
傕	亻 ＋ 冖 ＋ 隹	亻	隹
傣	亻 ＋ 𡗗 ＋ 氺	亻	氺
傥	亻 ＋ 党字头 ＋ 口 ＋ 儿	亻	儿
傧	亻 ＋ 宀 ＋ 丘 ＋ 八	亻	八
储	亻 ＋ 讠 ＋ 耂 ＋ 日	亻	日
傩	亻 ＋ 又 ＋ 隹	亻	隹
催	亻 ＋ 山 ＋ 隹	亻	隹
傲	亻 ＋ 敖左 ＋ 攵	亻	攵
傺	亻 ＋ 祭字头 ＋ 示	亻	示
傻	亻 ＋ 丿 ＋ 囗 ＋ 㐅 ＋ 八 ＋ 夂	亻	夂
僇	亻 ＋ 习 ＋ 习 ＋ 全字头 ＋ 彡	亻	彡
僎	亻 ＋ 巳 ＋ 巳 ＋ 龷 ＋ 八	亻	八
像	亻 ＋ 象	亻	象
僔	亻 ＋ 丷 ＋ 酉 ＋ 寸	亻	寸
僖	亻 ＋ 士 ＋ 口 ＋ 丷 ＋ 一 ＋ 口	亻	口
僚	亻 ＋ 大 ＋ 丷 ＋ 日 ＋ 小	亻	小
僦	亻 ＋ 亠 ＋ 口 ＋ 小 ＋ 尤	亻	尤
僧	亻 ＋ 丷 ＋ 囗 ＋ ⺌ ＋ 日	亻	日
僬	亻 ＋ 隹 ＋ 灬	亻	灬
僭	亻 ＋ 一 ＋ 折 ＋ 儿 ＋ 一 ＋ 折 ＋ 儿 ＋ 日	亻	日
僮	亻 ＋ 立 ＋ 里	亻	里
僰	朿 ＋ 朿 ＋ 人	朿	人
僳	亻 ＋ 覀 ＋ 米	亻	米
僵	亻 ＋ 一 ＋ 田 ＋ 一 ＋ 田 ＋ 一	亻	一
僻	亻 ＋ 尸 ＋ 口 ＋ 辛	亻	辛
儆	亻 ＋ 艹 ＋ 勹 ＋ 口 ＋ 攵	亻	攵
儇	亻 ＋ 罒 ＋ 一 ＋ 口 ＋ 𧘇	亻	𧘇
儋	亻 ＋ ⺈ ＋ 厂 ＋ 八 ＋ 言	亻	言
儒	亻 ＋ ⻗ ＋ 而	亻	而
儡	亻 ＋ 田 ＋ 田 ＋ 田	亻	田
儦	亻 ＋ 广 ＋ 折 ＋ 丨 ＋ 丨 ＋ 一 ＋ 比左 ＋ 匕 ＋ 灬	亻	灬
儳	亻 ＋ ⺈ ＋ 口 ＋ 比左 ＋ 匕 ＋ 兔	亻	兔
儴	亻 ＋ 襄	亻	襄
儿	儿	儿	儿
兀	兀	兀	兀
允	厶 ＋ 儿	厶	儿
元	一 ＋ 兀	一	兀
兄	口 ＋ 儿	口	儿
充	亠 ＋ 厶 ＋ 儿	亠	儿
兆	冫 ＋ 冫 ＋ 儿	冫	儿
先	⺧ ＋ 儿	⺧	儿
光	⺌ ＋ 兀	⺌	兀
克	十 ＋ 口 ＋ 儿	十	儿
免	免	免	免
兑	丷 ＋ 口 ＋ 儿	丷	儿
兔	兔	兔	兔
兕	丨 ＋ 折 ＋ 贝字框 ＋ 兀	丨	兀
兖	亠 ＋ 八 ＋ 厶 ＋ 儿	亠	儿
党	党字头 ＋ 口 ＋ 儿	党字头	儿
兜	白 ＋ 撇 ＋ 折 ＋ 折 ＋ 一 ＋ 儿	白	儿
兢	十 ＋ 口 ＋ 儿 ＋ 十 ＋ 口 ＋ 儿	十	儿
入	入	入	入
全	全字头 ＋ 王	全字头	王
八	八	八	八
公	八 ＋ 厶	八	厶
六	亠 ＋ 八	亠	八
兮	八 ＋ 一 ＋ 折	八	折
兰	丷 ＋ 一 ＋ 二	丷	二
共	龷 ＋ 八	龷	八
关	丷 ＋ 天	丷	天
兴	应字心 ＋ 八	应字心	八
兵	丘 ＋ 八	丘	八
其	其字头 ＋ 八	其字头	八
具	具字头 ＋ 八	具字头	八
典	贝字框 ＋ 龷 ＋ 八	贝字框	八
兹	丷 ＋ 一 ＋ 幺 ＋ 幺	丷	幺
养	养字头 ＋ 乔字底	养字头	乔字底
兼	兼	兼	兼
兽	丷 ＋ 田 ＋ 一 ＋ 口	丷	口
冀	北字旁 ＋ 匕 ＋ 田 ＋ 龷 ＋ 八	北字旁	八
冁	单 ＋ 尸 ＋ 艹 ＋ 畏下	单	畏下
内	冂 ＋ 人	冂	人
冈	冂 ＋ 㐅	冂	㐅
冉	冂 ＋ 土	冂	土
册	⺆ ＋ ⺆ ＋ 一	⺆	一
再	一 ＋ 冂 ＋ 土	一	土
冏	冂 ＋ 八 ＋ 口	冂	口
冒	贝字框 ＋ 二 ＋ 目	贝字框	目
冔	贝字框 ＋ 二 ＋ 口 ＋ 于	贝字框	于
冕	贝字框 ＋ 二 ＋ 免	贝字框	免
冗	冖 ＋ 几	冖	几
写	冖 ＋ 一 ＋ 折 ＋ 一	冖	一
军	冖 ＋ 车	冖	车
农	冖 ＋ 𧘇	冖	𧘇
冠	冖 ＋ 一 ＋ 兀 ＋ 寸	冖	寸
冢	冖 ＋ 豖	冖	豖
冤	冖 ＋ 兔	冖	兔
冥	冖 ＋ 日 ＋ 亠 ＋ 八	冖	八
冬	夂 ＋ 冬字底	夂	冬字底
冮	冫 ＋ 工	冫	工
冯	冫 ＋ 马	冫	马
冰	冫 ＋ 水	冫	水
冱	冫 ＋ 互	冫	互
冲	冫 ＋ 口 ＋ 竖	冫	竖
决	冫 ＋ 折 ＋ 大	冫	大
况	冫 ＋ 口 ＋ 儿	冫	儿
冶	冫 ＋ 厶 ＋ 口	冫	口
冷	冫 ＋ 令	冫	令
冻	冫 ＋ 东	冫	东
冼	冫 ＋ ⺧ ＋ 儿	冫	儿
冽	冫 ＋ 歹 ＋ 刂	冫	刂
净	冫 ＋ ⺈ ＋ 争字底	冫	争字底
凄	冫 ＋ 横 ＋ 肀 ＋ 女	冫	女
准	冫 ＋ 隹	冫	隹
凇	冫 ＋ 木 ＋ 八 ＋ 厶	冫	厶
凉	冫 ＋ 亠 ＋ 口 ＋ 小	冫	小
凋	冫 ＋ ⺆ ＋ 土 ＋ 口	冫	口
凌	冫 ＋ 土 ＋ 八 ＋ 夂	冫	夂
减	冫 ＋ 戊 ＋ 一 ＋ 口	冫	口
